25届目标院校清单未公布，暂时以往届为准																													
														2023届应届生招聘研发职类国内特定专业院校（专家类）															
院校类型	国内院校名称	招聘平台	计算机科学与技术	电子科学与技术	信息与通信工程	机械工程	软件工程	控制科学与工程	材料科学与工程	电气工程	光学工程	动力工程及工程热物理	生物医学工程	化学工程与技术	测绘科学与技术	环境科学与工程	土木工程	水利工程	统计学	数学	物理学	化学	海洋科学	矿业工程	设计学	艺术学理论	美术学	戏剧与影视学	其他
研发国内特定专业	华北电力大学	京津东北		√						√		√																	√新能源
研发国内特定专业	长春理工大学	京津东北									√																		
研发国内特定专业	北京化工大学	京津东北						√	√					√								√							
研发国内特定专业	中国矿业大学	江山				√								√	√		√							√					
研发国内特定专业	上海科技大学	上合	√		√				√				√							√	√	√			√				
研发国内特定专业	福州大学	杭厦（含江西）	√	√		√	√							√								√							√车
研发国内特定专业	北京工业大学	京津东北	√			√	√	√	√		√					√	√		√										
研发国内特定专业	苏州大学	江山	√				√		√		√									√		√			√				
研发国内特定专业	浙江工业大学	杭厦（含江西）				√								√															
研发国内特定专业	中国石油大学	京津东北、江山												√															
研发国内特定专业	河海大学	江山	√		√											√	√	√											
研发国内特定专业	广东工业大学	粤港澳		√		√		√																					
研发国内特定专业	华南师范大学	粤港澳																		√	√								
研发国内特定专业	中国传媒大学	京津东北																							√	√		√	
研发国内特定专业	江南大学	江山				√		√						√											√	√	√		
研发国内特定专业	中国美术学院	杭厦（含江西）																							√	√	√	√	
研发国内特定专业	中央美术学院	京津东北																							√	√	√		
研发国内特定专业	澳门大学	粤港澳	√	√	√					√																			
研发国内特定专业	北京协和医学院	京津东北											√																


2023届应届生招聘国内通用目标院校清单（专家类）				
"说明：
1、国内通用目标院校清单包含中国大陆院校、港澳院校
2、北京大学、清华大学、哈尔滨工业大学、山东大学、香港中文大学等有分校区的院校，在清单中合并为一所院校展示"				
类型	学校	院校标签	招聘平台	备注
国内通用院校	清华大学	C9	京津东北、粤港澳	
国内通用院校	北京大学	C9	京津东北、粤港澳	
国内通用院校	复旦大学	C9	上合	
国内通用院校	上海交通大学	C9	上合	
国内通用院校	浙江大学	C9	杭厦（含江西）	
国内通用院校	南京大学	C9	江山	
国内通用院校	哈尔滨工业大学	C9	京津东北、粤港澳、江山	
国内通用院校	西安交通大学	C9	西安（含兰州）	
国内通用院校	中国科学技术大学	C9	上合	
国内通用院校	华中科技大学	985	武长	
国内通用院校	武汉大学	985	武长	
国内通用院校	南开大学	985	京津东北	
国内通用院校	厦门大学	985	杭厦（含江西）	
国内通用院校	天津大学	985	京津东北	
国内通用院校	北京航空航天大学	985	京津东北	
国内通用院校	东南大学	985	江山	
国内通用院校	国防科技大学	985	武长	
国内通用院校	中国人民大学	985	京津东北	
国内通用院校	同济大学	985	上合	
国内通用院校	北京理工大学	985	京津东北	
国内通用院校	大连理工大学	985	京津东北	
国内通用院校	山东大学	985	江山	
国内通用院校	华南理工大学	985	粤港澳	
国内通用院校	吉林大学	985	京津东北	
国内通用院校	重庆大学	985	成渝	
国内通用院校	中南大学	985	武长	
国内通用院校	四川大学	985	成渝	
国内通用院校	西北工业大学	985	西安（含兰州）	
国内通用院校	电子科技大学	985	成渝	
国内通用院校	湖南大学	985	武长	
国内通用院校	华东师范大学	985	上合	
国内通用院校	东北大学	985	京津东北	
国内通用院校	中山大学	985	粤港澳	
国内通用院校	北京师范大学	985	京津东北	
国内通用院校	兰州大学	985	西安（含兰州）	
国内通用院校	中国科学院大学	国内顶尖高校	多区域	
国内通用院校	南京航空航天大学	211	江山	
国内通用院校	北京交通大学	211	京津东北	
国内通用院校	哈尔滨工程大学	211	京津东北	
国内通用院校	西安电子科技大学	211	西安（含兰州）	
国内通用院校	南方科技大学	强相关院校	粤港澳	
国内通用院校	华东理工大学	211	上合	
国内通用院校	南京理工大学	211	江山	
国内通用院校	重庆邮电大学	强相关院校	成渝	
国内通用院校	西南交通大学	211	成渝	
国内通用院校	北京科技大学	211	京津东北	
国内通用院校	北京邮电大学	211	京津东北	
国内通用院校	上海大学	211	上合	
国内通用院校	暨南大学	211	粤港澳	
国内通用院校	合肥工业大学	211	上合	
国内通用院校	南京邮电大学	强相关院校	江山	
国内通用院校	杭州电子科技大学	强相关院校	杭厦（含江西）	
国内通用院校	武汉理工大学	211	武长	
国内通用院校	西北大学	211	西安（含兰州）	
国内通用院校	深圳大学	强相关院校	留学生交付平台（含粤港澳）	
国内通用院校	香港大学	港澳院校	留学生交付平台（含粤港澳）	
国内通用院校	香港科技大学	港澳院校	留学生交付平台（含粤港澳）	
国内通用院校	香港中文大学	港澳院校	留学生交付平台（含粤港澳）	
国内通用院校	香港城市大学	港澳院校	留学生交付平台（含粤港澳）	
国内通用院校	香港理工大学	港澳院校	留学生交付平台（含粤港澳）	
类型	"中文院校名称
（使用国际通用标准名称）"	"英文院校名称
（使用国际通用标准名称）"	院校所在国家	备注
海外通用院校	麻省理工学院	Massachusetts Institute of Technology (MIT)	美国	
海外通用院校	牛津大学	University of Oxford	英国	
海外通用院校	剑桥大学	University of Cambridge	英国	
海外通用院校	斯坦福大学	Stanford University	美国	
海外通用院校	哈佛大学	Harvard University	美国	
海外通用院校	加州理工学院	California Institute of Technology (Caltech)	美国	
海外通用院校	帝国理工学院	Imperial College London	英国	
海外通用院校	伦敦大学学院	University College London (UCL)	英国	
海外通用院校	苏黎世联邦理工学院	ETH Zurich - Swiss Federal Institute of Technology	瑞士	
海外通用院校	芝加哥大学	University of Chicago	美国	
海外通用院校	新加坡国立大学	National University of Singapore (NUS)	新加坡	
海外通用院校	南洋理工大学	Nanyang Technological University, Singapore (NTU)	新加坡	
海外通用院校	宾夕法尼亚大学	University of Pennsylvania	美国	
海外通用院校	洛桑联邦理工学院	EPFL	瑞士	
海外通用院校	耶鲁大学	Yale University	美国	
海外通用院校	爱丁堡大学	The University of Edinburgh	英国	
海外通用院校	哥伦比亚大学	Columbia University	美国	
海外通用院校	普林斯顿大学	Princeton University	美国	
海外通用院校	康奈尔大学	Cornell University	美国	
海外通用院校	密歇根大学安娜堡分校	University of Michigan-Ann Arbor	美国	
海外通用院校	东京大学	The University of Tokyo	日本	
海外通用院校	约翰霍普金斯大学	Johns Hopkins University	美国	
